ID,County,Jurisdiction,Precinct,Population,White,Black,Latino,Democrat,Republican,Libertarian,Green
P1537250000001,Schoolcraft County,SCHOOLCRAFT,SENEY TOWNSHIP; 1,119,113,0,1,10,55,5,0
P1632200003101,Wayne County,WAYNE,DETROIT CITY; 101,120,4,114,0,18,0,1,0
P1632200005099,Wayne County,WAYNE,DETROIT CITY; 99,123,26,95,1,100,5,1,3
P1632200004109,Wayne County,WAYNE,DETROIT CITY; 109,134,1,133,0,1,0,0,0
P0513534000001,Gladwin County,GLADWIN,GRIM TOWNSHIP; 1,136,134,0,0,20,43,4,0
P0633308000001,Huron County,HURON,GORE TOWNSHIP; 1,144,141,0,1,21,67,0,1
P0617620000002,Houghton County,HOUGHTON,STANTON TOWNSHIP; 2,143,137,1,4,47,42,2,0
P0492900005036,Genesee County,GENESEE,FLINT CITY; Ward 5; Precinct 36,140,98,29,3,20,12,1,1
P1632200005443,Wayne County,WAYNE,DETROIT CITY; 443,151,3,148,3,38,0,0,0
P1255946000001,Oakland County,OAKLAND,NOVI TOWNSHIP; 1,150,142,0,6,50,48,6,1
P1038078000001,Marquette County,MARQUETTE,TURIN TOWNSHIP; 1,153,149,0,2,30,33,4,0
P0175378001006,Bay County,BAY,MIDLAND CITY; Ward 1; Precinct 6,157,155,0,4,20,31,8,1
P1032684000001,Marquette County,MARQUETTE,EWING TOWNSHIP; 1,160,155,0,0,29,50,4,1
P1653764000001,Wexford County,WEXFORD,HENDERSON TOWNSHIP; 1,163,163,0,0,26,70,5,0
P0973766000001,Mackinac County,MACKINAC,HENDRICKS TOWNSHIP; 1,153,115,0,2,13,66,0,1
P1632200006459,Wayne County,WAYNE,DETROIT CITY; 459,169,19,148,13,9,0,1,0
P0612566000001,Houghton County,HOUGHTON,ELM RIVER TOWNSHIP; 1,177,175,0,0,61,83,5,0
P0333986000001,Chippewa County,CHIPPEWA,HULBERT TOWNSHIP; 1,168,152,0,2,26,68,2,3
P1055264000001,Mason County,MASON,MEADE TOWNSHIP; 1,181,154,0,6,31,57,3,1
P0973976000001,Mackinac County,MACKINAC,HUDSON TOWNSHIP; 1,181,119,0,2,31,65,3,1
P1132620000001,Missaukee County,MISSAUKEE,ENTERPRISE TOWNSHIP; 1,194,189,0,0,20,75,1,1
P0898034000004,Leelanau County,LEELANAU,TRAVERSE CITY; 4,192,176,0,7,97,86,9,2
P0951748000001,Luce County,LUCE,COLUMBUS TOWNSHIP; 1,204,199,0,0,22,79,5,2
P1313596000001,Ontonagon County,ONTONAGON,HAIGHT TOWNSHIP; 1,212,208,1,6,43,56,1,1
P0331556000001,Chippewa County,CHIPPEWA,CHIPPEWA TOWNSHIP; 1,213,191,1,0,16,76,7,1
P0832362000001,Keweenaw County,KEWEENAW,EAGLE HARBOR TOWNSHIP; 1,217,213,1,4,106,125,11,7
P0833430000001,Keweenaw County,KEWEENAW,GRANT TOWNSHIP; 1,219,214,0,0,85,79,5,1
P1632200006465,Wayne County,WAYNE,DETROIT CITY; 465,215,103,100,8,75,5,0,2
P0715086000001,Iron County,IRON,MANSFIELD TOWNSHIP; 1,227,227,0,0,43,107,7,0
P1038526000001,Marquette County,MARQUETTE,WELLS TOWNSHIP; 1,231,229,0,0,43,68,1,0
P0492900005034,Genesee County,GENESEE,FLINT CITY; Ward 5; Precinct 34,232,160,49,20,33,19,2,1
P1535606000001,Schoolcraft County,SCHOOLCRAFT,MUELLER TOWNSHIP; 1,234,219,0,1,40,97,4,0
P1233886000001,Newaygo County,NEWAYGO,HOME TOWNSHIP; 1,232,221,0,2,24,94,3,1
P1316914000001,Ontonagon County,ONTONAGON,ROCKLAND TOWNSHIP; 1,228,215,1,4,40,70,7,2
P1133862000001,Missaukee County,MISSAUKEE,HOLLAND TOWNSHIP; 1,248,239,0,10,28,89,6,1
P0857774000016,Lake County,LAKE,SWEETWATER TOWNSHIP; 16,245,218,18,4,36,82,5,2
P0291456000003,Charlevoix County,CHARLEVOIX,CHANDLER TOWNSHIP; 3,248,234,0,7,39,103,6,5
P1091424000001,Menominee County,MENOMINEE,CEDARVILLE TOWNSHIP; 1,253,245,1,1,51,95,3,2
P0933186000012,Livingston County,LIVINGSTON,GENOA TOWNSHIP; 12,188,172,10,3,29,89,2,5
P1430432000001,Roscommon County,ROSCOMMON,AU SABLE TOWNSHIP; 1,255,249,2,3,44,74,7,1
P1092730000001,Menominee County,MENOMINEE,FAITHORN TOWNSHIP; 1,243,229,0,0,35,113,1,2
P1632200006471,Wayne County,WAYNE,DETROIT CITY; 471,251,131,6,171,13,3,1,0
P0313748000001,Cheboygan County,CHEBOYGAN,HEBRON TOWNSHIP; 1,269,254,0,1,57,87,5,2
P0616668000001,Houghton County,HOUGHTON,QUINCY TOWNSHIP; 1,270,268,1,2,51,91,4,2
P1036612000002,Marquette County,MARQUETTE,POWELL TOWNSHIP; 2,274,270,0,1,74,60,8,2
P0796054000001,Kalkaska County,KALKASKA,OLIVER TOWNSHIP; 1,281,274,0,1,39,109,3,3
P1238068000001,Newaygo County,NEWAYGO,TROY TOWNSHIP; 1,283,272,2,9,40,84,3,0
P1632200001277,Wayne County,WAYNE,DETROIT CITY; 277,283,2,274,1,261,5,0,0
P0137600000001,Baraga County,BARAGA,SPURR TOWNSHIP; 1,276,251,1,3,75,83,4,28
P0296314000012,Charlevoix County,CHARLEVOIX,PEAINE TOWNSHIP; 12,292,289,0,2,107,132,10,3
P1254444000001,Oakland County,OAKLAND,LAKE ANGELUS CITY; 1,290,279,1,1,46,184,13,1
P0471890000001,Emmet County,EMMET,CROSS VILLAGE TOWNSHIP; 1,281,230,1,3,72,98,6,2
P0412696000001,Delta County,DELTA,FAIRBANKS TOWNSHIP; 1,281,244,0,3,57,122,4,1
P0492900002013,Genesee County,GENESEE,FLINT CITY; Ward 2; Precinct 13,280,1,264,2,59,0,0,0
P1194948000001,Montmorency County,MONTMORENCY,LOUD TOWNSHIP; 1,293,288,0,0,56,114,8,3
P1031454000001,Marquette County,MARQUETTE,CHAMPION TOWNSHIP; 1,297,288,0,0,84,63,3,2
P1415486000001,Presque Isle County,PRESQUE ISLE,MOLTKE TOWNSHIP; 1,296,282,10,1,45,125,10,1
P1070832000002,Mecosta County,MECOSTA,BIG RAPIDS TOWNSHIP; 2,297,288,1,8,111,112,9,4
P1415344000001,Presque Isle County,PRESQUE ISLE,METZ TOWNSHIP; 1,302,299,0,4,47,86,5,2
P1435698000001,Roscommon County,ROSCOMMON,NESTER TOWNSHIP; 1,295,284,0,4,61,119,5,0
P0538280000001,Gogebic County,GOGEBIC,WAKEFIELD TOWNSHIP; 1,305,304,0,1,56,110,3,2
P1632200006154,Wayne County,WAYNE,DETROIT CITY; 154,295,144,122,24,85,13,2,5
P0078518000001,Alpena County,ALPENA,WELLINGTON TOWNSHIP; 1,307,301,0,1,33,89,4,0
P0410604000001,Delta County,DELTA,BAY DE NOC TOWNSHIP; 1,305,293,0,0,72,137,4,1
P1632100000013,Wayne County,WAYNE,DEARBORN CITY; 13,353,312,12,2,371,199,19,2
P0116066001001,Arenac County,ARENAC,OMER CITY; Ward 1; Precinct 1,313,295,1,0,45,79,4,1
P1054914000001,Mason County,MASON,LOGAN TOWNSHIP; 1,312,306,0,5,56,97,4,0
P1235506000001,Newaygo County,NEWAYGO,MONROE TOWNSHIP; 1,320,301,12,7,31,134,3,1
P0532634000001,Gogebic County,GOGEBIC,ERWIN TOWNSHIP; 1,326,317,0,0,70,108,5,1
P0857168000015,Lake County,LAKE,SAUBLE TOWNSHIP; 15,333,317,0,6,59,149,4,1
P0713758000001,Iron County,IRON,HEMATITE TOWNSHIP; 1,338,325,0,6,55,90,6,1
P1314076000001,Ontonagon County,ONTONAGON,INTERIOR TOWNSHIP; 1,336,323,0,1,66,93,6,1
P1093876000001,Menominee County,MENOMINEE,HOLMES TOWNSHIP; 1,335,325,2,1,31,145,3,0
P0318294000001,Cheboygan County,CHEBOYGAN,WALKER TOWNSHIP; 1,327,305,0,0,30,83,6,0
P1430472000001,Roscommon County,ROSCOMMON,BACKUS TOWNSHIP; 1,330,314,0,4,43,106,2,3
P0393466000302,Crawford County,CRAWFORD,GRAYLING TOWNSHIP; 302,343,330,5,2,58,145,5,0
P1416646000001,Presque Isle County,PRESQUE ISLE,PULAWSKI TOWNSHIP; 1,343,335,0,0,59,115,5,2
P0713116000001,Iron County,IRON,GAASTRA CITY; 1,347,341,0,4,50,116,4,3
P0015474000001,Alcona County,ALCONA,MITCHELL TOWNSHIP; 1,352,346,1,2,42,179,5,1
P0196476000001,Benzie County,BENZIE,PLATTE TOWNSHIP; 1,354,343,0,0,103,100,14,6
P1035354000001,Marquette County,MARQUETTE,MICHIGAMME TOWNSHIP; 1,349,339,0,0,88,135,7,2
P0036082000001,Alger County,ALGER,ONOTA TOWNSHIP; 1,352,340,0,3,121,138,13,4
P1632200001266,Wayne County,WAYNE,DETROIT CITY; 266,349,80,255,3,172,10,0,1
P1475296000002,St. Clair County,ST. CLAIR,MEMPHIS CITY; 2,360,345,6,8,54,107,4,1
P0297092000013,Charlevoix County,CHARLEVOIX,ST JAMES TOWNSHIP; 13,365,350,0,5,109,104,13,3
P1410640000001,Presque Isle County,PRESQUE ISLE,BEARINGER TOWNSHIP; 1,369,360,5,4,76,185,7,1
P0492900005035,Genesee County,GENESEE,FLINT CITY; Ward 5; Precinct 35,362,187,158,10,74,14,1,0
P1657482000001,Wexford County,WEXFORD,SOUTH BRANCH TOWNSHIP; 1,383,368,1,3,76,127,5,3
P1410870000001,Presque Isle County,PRESQUE ISLE,BISMARCK TOWNSHIP; 1,386,379,1,3,69,149,8,1
P0338060000001,Chippewa County,CHIPPEWA,TROUT LAKE TOWNSHIP; 1,384,343,0,3,66,135,7,2
P0698714000001,Iosco County,IOSCO,WHITTEMORE CITY; 1,384,364,5,12,63,110,10,2
P1632200004054,Wayne County,WAYNE,DETROIT CITY; 54,392,11,379,5,179,2,1,0
P0790932000001,Kalkaska County,KALKASKA,BLUE LAKE TOWNSHIP; 1,387,376,2,2,114,153,6,3
P1015158000001,Manistee County,MANISTEE,MARILLA TOWNSHIP; 1,393,380,0,14,59,140,8,0
P1631312000006,Wayne County,WAYNE,CANTON TOWNSHIP; 6,398,393,3,10,74,106,3,1
P1293286000001,Ogemaw County,OGEMAW,GOODAR TOWNSHIP; 1,398,389,1,2,61,137,5,3
P1195524000002,Montmorency County,MONTMORENCY,MONTMORENCY TOWNSHIP; 2,396,387,0,1,90,224,4,1
P0558132000001,Grand Traverse County,GD. TRAVERSE,UNION TOWNSHIP; 1,405,395,0,7,94,139,15,1
P0852280000003,Lake County,LAKE,DOVER TOWNSHIP; 3,395,377,0,10,54,146,7,1
P0851510000002,Lake County,LAKE,CHERRY VALLEY TOWNSHIP; 2,396,358,26,2,77,123,5,4
P0015406000001,Alcona County,ALCONA,MILLEN TOWNSHIP; 1,404,387,0,6,72,135,2,3
P0130534000003,Baraga County,BARAGA,BARAGA TOWNSHIP; 3,399,376,1,4,55,124,5,1
P0492900005030,Genesee County,GENESEE,FLINT CITY; Ward 5; Precinct 30,387,271,73,50,26,26,2,2
P1130052000001,Missaukee County,MISSAUKEE,AETNA TOWNSHIP; 1,413,405,0,16,25,197,12,0
P0098330000001,Antrim County,ANTRIM,WARNER TOWNSHIP; 1,416,407,1,2,35,134,8,3
P1093316000001,Menominee County,MENOMINEE,GOURLEY TOWNSHIP; 1,420,389,0,4,29,143,4,3
P0634002000001,Huron County,HURON,HURON TOWNSHIP; 1,437,421,0,32,47,160,7,2
P0975764000001,Mackinac County,MACKINAC,NEWTON TOWNSHIP; 1,427,377,5,4,70,189,3,3
P0117612000003,Arenac County,ARENAC,STANDISH CITY; 3,440,427,2,8,62,107,9,5
P0311500000001,Cheboygan County,CHEBOYGAN,CHEBOYGAN CITY; 1,425,385,3,4,45,100,9,3
P0034754000001,Alger County,ALGER,LIMESTONE TOWNSHIP; 1,438,420,2,6,75,135,7,3
P0635036000001,Huron County,HURON,MCKINLEY TOWNSHIP; 1,445,436,0,13,53,163,11,1
P1351654000001,Oscoda County,OSCODA,CLINTON TOWNSHIP; 1,441,434,0,1,65,174,13,1
P0616126000001,Houghton County,HOUGHTON,OSCEOLA TOWNSHIP; 1,447,436,3,5,77,147,16,5
P0697318000001,Iosco County,IOSCO,SHERMAN TOWNSHIP; 1,448,439,1,3,70,153,15,2
P0437060000002,Dickinson County,DICKINSON,SAGOLA TOWNSHIP; 2,450,435,4,1,44,121,3,1
P1136446000001,Missaukee County,MISSAUKEE,PIONEER TOWNSHIP; 1,451,444,0,6,64,178,6,2
P0130534000002,Baraga County,BARAGA,BARAGA TOWNSHIP; 2,443,417,0,4,64,150,6,3
P0357712000001,Clare County,CLARE,SUMMERFIELD TOWNSHIP; 1,456,451,1,4,80,145,8,0
P0318476000001,Cheboygan County,CHEBOYGAN,WAVERLY TOWNSHIP; 1,457,445,5,1,66,161,5,0
P0630906000001,Huron County,HURON,BLOOMFIELD TOWNSHIP; 1,455,449,2,14,47,154,6,0
P0130366000001,Baraga County,BARAGA,ARVON TOWNSHIP; 1,450,430,0,0,77,203,10,3
P0613632000001,Houghton County,HOUGHTON,HANCOCK TOWNSHIP; 1,461,458,0,2,77,174,8,2
P1331404000001,Osceola County,OSCEOLA,CEDAR TOWNSHIP; 1,455,445,0,6,69,171,10,1
P1271718000001,Oceana County,OCEANA,COLFAX TOWNSHIP; 1,462,431,2,68,77,100,7,1
P0573616000001,Gratiot County,GRATIOT,HAMILTON TOWNSHIP; 1,465,459,2,12,49,136,7,2
P0637388000001,Huron County,HURON,SIGEL TOWNSHIP; 1,465,462,1,2,51,193,6,3
P0492902000008,Genesee County,GENESEE,FLINT TOWNSHIP; 8,449,166,253,18,48,20,4,1
P0492900004027,Genesee County,GENESEE,FLINT CITY; Ward 4; Precinct 27,456,338,75,45,41,20,3,3
P0358798000001,Clare County,CLARE,WINTERFIELD TOWNSHIP; 1,459,445,0,2,67,136,10,6
P0510972000001,Gladwin County,GLADWIN,BOURRET TOWNSHIP; 1,461,430,6,7,73,165,8,0
P1138556000001,Missaukee County,MISSAUKEE,WEST BRANCH TOWNSHIP; 1,466,452,3,7,56,149,8,3
P0631460000001,Huron County,HURON,CHANDLER TOWNSHIP; 1,472,460,4,10,38,188,2,3
P1310764000001,Ontonagon County,ONTONAGON,BERGLAND TOWNSHIP; 1,467,456,0,5,88,202,5,1
P1033994000001,Marquette County,MARQUETTE,HUMBOLDT TOWNSHIP; 1,464,454,0,1,98,149,7,3
P1632200004028,Wayne County,WAYNE,DETROIT CITY; 28,438,4,400,2,56,5,2,0
P0616126000004,Houghton County,HOUGHTON,OSCEOLA TOWNSHIP; 4,469,446,13,3,66,135,8,4
P0636236000001,Huron County,HURON,PARIS TOWNSHIP; 1,481,468,12,3,51,164,5,1
P1255056000006,Oakland County,OAKLAND,MADISON HEIGHTS CITY; 6,468,367,77,8,154,106,5,0
P1315046000001,Ontonagon County,ONTONAGON,MCMILLAN TOWNSHIP; 1,478,460,0,3,112,150,7,4
P0131860000001,Baraga County,BARAGA,COVINGTON TOWNSHIP; 1,476,456,1,4,76,158,10,2
P0852480000004,Lake County,LAKE,EDEN TOWNSHIP; 4,487,479,3,9,80,153,2,3
P0690076000001,Iosco County,IOSCO,ALABASTER TOWNSHIP; 1,487,475,0,2,102,201,4,2
P1131220000001,Missaukee County,MISSAUKEE,BUTTERFIELD TOWNSHIP; 1,489,481,2,4,64,165,6,1
P0856312000010,Lake County,LAKE,PEACOCK TOWNSHIP; 10,492,475,6,18,98,137,7,3
P0415650000001,Delta County,DELTA,NAHMA TOWNSHIP; 1,495,474,1,1,78,164,22,1
P0013686001001,Alcona County,ALCONA,HARRISVILLE CITY; Ward 1; Precinct 1,493,476,3,12,98,137,16,4
P1533194000001,Schoolcraft County,SCHOOLCRAFT,GERMFASK TOWNSHIP; 1,486,440,0,2,37,197,4,0
P1518658000001,Sanilac County,SANILAC,WHEATLAND TOWNSHIP; 1,488,455,0,21,39,166,6,3
P1632200005138,Wayne County,WAYNE,DETROIT CITY; 138,494,12,446,3,212,3,1,5
P1657422000001,Wexford County,WEXFORD,SLAGLE TOWNSHIP; 1,503,496,0,13,92,179,12,0
P0431020000001,Dickinson County,DICKINSON,BREEN TOWNSHIP; 1,499,480,0,0,49,191,6,4
P1632200004048,Wayne County,WAYNE,DETROIT CITY; 48,508,10,496,1,112,2,0,0
P0815692000003,Kent County,KENT,NELSON TOWNSHIP; 3,500,473,4,26,46,154,8,4
P1230658000001,Newaygo County,NEWAYGO,BEAVER TOWNSHIP; 1,509,489,4,32,54,148,4,1
P0117612000001,Arenac County,ARENAC,STANDISH CITY; 1,503,471,2,15,56,101,7,3
P0975028000001,Mackinac County,MACKINAC,MACKINAC ISLAND CITY; 1,492,363,6,11,209,204,23,3
P0091538000001,Antrim County,ANTRIM,CHESTONIA TOWNSHIP; 1,511,491,2,2,72,158,6,3
P0613030000002,Houghton County,HOUGHTON,FRANKLIN TOWNSHIP; 2,513,501,0,5,93,97,11,4
P1415794000001,Presque Isle County,PRESQUE ISLE,NORTH ALLIS TOWNSHIP; 1,521,503,0,10,84,164,12,2
P1633818000007,Wayne County,WAYNE,HIGHLAND PARK CITY; 7,515,11,473,17,107,1,3,1
P0235786000001,Branch County,BRANCH,NOBLE TOWNSHIP; 1,520,495,4,10,44,184,5,1
P1130908000001,Missaukee County,MISSAUKEE,BLOOMFIELD TOWNSHIP; 1,531,515,1,7,70,190,6,1
P0031196000001,Alger County,ALGER,BURT TOWNSHIP; 1,522,500,2,7,101,200,16,6
P1632200003181,Wayne County,WAYNE,DETROIT CITY; 181,521,10,493,8,143,0,0,0
P0356760000001,Clare County,CLARE,REDDING TOWNSHIP; 1,526,508,0,17,49,129,4,0
P0973162000002,Mackinac County,MACKINAC,GARFIELD TOWNSHIP; 2,525,424,0,0,77,248,8,0
P0412638000003,Delta County,DELTA,ESCANABA TOWNSHIP; 3,540,534,0,6,98,200,12,3
P1535076000001,Schoolcraft County,SCHOOLCRAFT,MANISTIQUE CITY; 1,518,434,2,8,80,100,7,5
P0715230000001,Iron County,IRON,MASTODON TOWNSHIP; 1,544,538,0,6,134,181,8,1
P1036612000001,Marquette County,MARQUETTE,POWELL TOWNSHIP; 1,542,508,1,2,137,175,11,10
P1515454000001,Sanilac County,SANILAC,MINDEN TOWNSHIP; 1,545,532,0,9,72,172,7,1
P0198516000001,Benzie County,BENZIE,WELDON TOWNSHIP; 1,542,521,1,10,106,200,11,2
P0190884000001,Benzie County,BENZIE,BLAINE TOWNSHIP; 1,551,520,2,39,145,198,21,6
P1294916000001,Ogemaw County,OGEMAW,LOGAN TOWNSHIP; 1,551,545,0,6,95,188,11,6
P1632200007372,Wayne County,WAYNE,DETROIT CITY; 372,550,1,544,5,180,2,1,1
P0118084000001,Arenac County,ARENAC,TURNER TOWNSHIP; 1,550,529,2,1,62,209,8,1
P0315030000001,Cheboygan County,CHEBOYGAN,MACKINAW TOWNSHIP; 1,539,460,43,4,122,209,5,3
P1094436000001,Menominee County,MENOMINEE,LAKE TOWNSHIP; 1,556,548,1,0,64,187,11,1
P0614422000001,Houghton County,HOUGHTON,LAIRD TOWNSHIP; 1,555,541,0,2,85,170,8,0
P1633818000023,Wayne County,WAYNE,HIGHLAND PARK CITY; 23,548,16,513,2,219,4,2,0
P0936012000005,Livingston County,LIVINGSTON,OCEOLA TOWNSHIP; 5,558,538,4,12,259,524,31,5
P1233300000001,Newaygo County,NEWAYGO,GOODWELL TOWNSHIP; 1,547,518,6,6,63,180,15,2
P1372284000001,Otsego County,OTSEGO,DOVER TOWNSHIP; 1,561,553,0,3,98,247,14,2
P0110028000001,Arenac County,ARENAC,ADAMS TOWNSHIP; 1,563,548,0,2,54,185,9,2
P0035236000001,Alger County,ALGER,MATHIAS TOWNSHIP; 1,554,526,0,7,111,108,11,3
P1333706000001,Osceola County,OSCEOLA,HARTWICK TOWNSHIP; 1,567,553,1,11,62,210,5,2
P0117612000002,Arenac County,ARENAC,STANDISH CITY; 2,566,540,3,16,81,137,6,1
P1197038000001,Montmorency County,MONTMORENCY,RUST TOWNSHIP; 1,561,537,0,6,51,179,4,0
P0315628000001,Cheboygan County,CHEBOYGAN,MUNRO TOWNSHIP; 1,571,549,4,1,141,241,14,5
P0338670000001,Chippewa County,CHIPPEWA,WHITEFISH TOWNSHIP; 1,575,541,1,9,110,270,13,5
P0471430000005,Emmet County,EMMET,CENTER TOWNSHIP; 5,568,508,2,8,115,180,10,6
P1052482000001,Mason County,MASON,EDEN TOWNSHIP; 1,582,553,3,22,90,155,6,4
P1653524000001,Wexford County,WEXFORD,GREENWOOD TOWNSHIP; 1,587,573,2,7,75,187,11,3
P0696796000001,Iosco County,IOSCO,RENO TOWNSHIP; 1,590,581,0,5,89,181,5,2
P1198242000001,Montmorency County,MONTMORENCY,VIENNA TOWNSHIP; 1,587,575,0,2,72,224,9,5
P1632200005456,Wayne County,WAYNE,DETROIT CITY; 456,574,13,525,10,113,1,2,1
P0574408000001,Gratiot County,GRATIOT,LAFAYETTE TOWNSHIP; 1,591,573,0,28,82,205,8,2
P0476754000001,Emmet County,EMMET,READMOND TOWNSHIP; 1,581,543,0,14,138,214,7,6
P0411828000001,Delta County,DELTA,CORNELL TOWNSHIP; 1,593,577,1,1,89,198,10,0
P1632200003173,Wayne County,WAYNE,DETROIT CITY; 173,592,4,569,12,105,1,0,2
P1057208002002,Mason County,MASON,SCOTTVILLE CITY; Ward 2; Precinct 2,587,539,5,37,91,122,7,8
P0311500000003,Cheboygan County,CHEBOYGAN,CHEBOYGAN CITY; 3,597,544,3,6,79,136,10,6
P0312540000001,Cheboygan County,CHEBOYGAN,ELLIS TOWNSHIP; 1,596,572,0,3,92,211,15,4
P1632474000007,Wayne County,WAYNE,ECORSE CITY; 7,598,7,575,9,279,2,0,3
P0374658000001,Clinton County,CLINTON,LEBANON TOWNSHIP; 1,605,593,5,7,88,202,12,3
P1250911000031,Oakland County,OAKLAND,BLOOMFIELD TOWNSHIP; 31,607,567,8,11,196,333,5,2
P1135928000001,Missaukee County,MISSAUKEE,NORWICH TOWNSHIP; 1,611,598,0,2,76,224,13,6
P1294364000001,Ogemaw County,OGEMAW,KLACKING TOWNSHIP; 1,614,600,5,4,89,244,13,3
P1235930000001,Newaygo County,NEWAYGO,NORWICH TOWNSHIP; 1,607,575,8,8,82,220,15,4
P1258070000006,Oakland County,OAKLAND,TROY CITY; 6,617,508,17,14,177,204,12,3
P1632200005162,Wayne County,WAYNE,DETROIT CITY; 162,619,5,605,0,151,2,1,1
P0975188000001,Mackinac County,MACKINAC,MARQUETTE TOWNSHIP; 1,603,502,0,14,89,252,5,1
P0394952000001,Crawford County,CRAWFORD,LOVELLS TOWNSHIP; 1,626,614,5,15,114,228,14,4
P0971036000001,Mackinac County,MACKINAC,BREVORT TOWNSHIP; 1,594,482,4,7,100,202,4,2
P0095064000002,Antrim County,ANTRIM,MANCELONA TOWNSHIP; 2,637,623,3,11,201,498,19,4
P1057208001001,Mason County,MASON,SCOTTVILLE CITY; Ward 1; Precinct 1,627,589,6,27,82,153,13,4
P1532296000001,Schoolcraft County,SCHOOLCRAFT,DOYLE TOWNSHIP; 1,624,568,0,5,107,218,15,1
P0130534000004,Baraga County,BARAGA,BARAGA TOWNSHIP; 4,605,440,1,8,75,157,3,2
P0855748000008,Lake County,LAKE,NEWKIRK TOWNSHIP; 8,632,598,5,10,82,186,1,4
P1190458000001,Montmorency County,MONTMORENCY,AVERY TOWNSHIP; 1,646,640,0,8,57,257,7,5
P0350362000001,Clare County,CLARE,ARTHUR TOWNSHIP; 1,647,641,3,2,48,254,6,2
P1632200005435,Wayne County,WAYNE,DETROIT CITY; 435,636,6,611,6,168,14,1,1
P1010332000001,Manistee County,MANISTEE,ARCADIA TOWNSHIP; 1,639,606,0,30,217,220,9,5
P0470898000001,Emmet County,EMMET,BLISS TOWNSHIP; 1,620,544,3,7,123,196,14,6
P0470638000001,Emmet County,EMMET,BEAR CREEK TOWNSHIP; 1,643,607,4,4,165,181,20,3
P0395094000501,Crawford County,CRAWFORD,MAPLE FOREST TOWNSHIP; 501,653,640,2,3,70,225,12,1
P0437060000001,Dickinson County,DICKINSON,SAGOLA TOWNSHIP; 1,656,652,0,2,116,327,18,0
P1416016000001,Presque Isle County,PRESQUE ISLE,OCQUEOC TOWNSHIP; 1,655,646,2,4,130,209,8,4
P1296968001001,Ogemaw County,OGEMAW,ROSE TOWNSHIP; 1,653,633,1,11,175,527,18,6
P1632200002255,Wayne County,WAYNE,DETROIT CITY; 255,653,0,643,5,265,3,2,1
P1636762500004,Wayne County,WAYNE,REDFORD TOWNSHIP; 4,645,531,86,25,119,94,9,4
P0973162000001,Mackinac County,MACKINAC,GARFIELD TOWNSHIP; 1,621,520,0,11,50,225,4,7
P1134998000001,Missaukee County,MISSAUKEE,MCBAIN CITY; 1,656,627,2,22,48,229,10,3
P0233212000001,Branch County,BRANCH,GILEAD TOWNSHIP; 1,661,653,2,10,76,213,5,0
P0191712000001,Benzie County,BENZIE,COLFAX TOWNSHIP; 1,657,636,1,7,90,204,7,4
P1632200005455,Wayne County,WAYNE,DETROIT CITY; 455,645,5,621,6,118,4,0,0
